t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2033,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.950371,From ReEDS case nuclear_60
2036,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.669177,From ReEDS case nuclear_60
2036,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.757544,From ReEDS case nuclear_60
2036,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.061465,From ReEDS case nuclear_60
2036,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.517284,From ReEDS case nuclear_60
2036,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.431147,From ReEDS case nuclear_60
2036,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.486605,From ReEDS case nuclear_60
2045,p10001,Nuclear,nuclear_r_fsu,r,fsu,55.152487,From ReEDS case nuclear_60
2048,p10001,Nuclear,nuclear_r_fsu,r,fsu,373.337434,From ReEDS case nuclear_60
2045,p32001,Nuclear,nuclear_r_fsu,r,fsu,151.12687,From ReEDS case nuclear_60
2048,p32001,Nuclear,nuclear_r_fsu,r,fsu,508.721961,From ReEDS case nuclear_60
2045,p36001,Nuclear,nuclear_r_fsu,r,fsu,895.652942,From ReEDS case nuclear_60
2048,p36001,Nuclear,nuclear_r_fsu,r,fsu,1334.485494,From ReEDS case nuclear_60
2045,p51003,Nuclear,nuclear_r_fsu,r,fsu,2139.126054,From ReEDS case nuclear_60
